N,P,K,temperature,humidity,ph,rainfall,OM,label
44.5,47.9,52.1,29.07,54.82,6.86,106.94,2.08,Mango
74.6,40.5,23.7,23.78,64.48,6.6,51.3,2.49,Corn
45.2,43.5,123.6,29.23,78.2,6.37,255.32,2.89,Durian
101.7,38.7,27.9,28.31,80.38,5.5,163.92,2.95,Rice
47.8,25.2,83.9,27.14,70.5,7.37,190.65,2.85,Coconut
20.0,25.1,61.7,26.77,67.42,6.54,118.43,2.41,Sweet Potato
87.3,60.4,183.5,29.0,76.44,5.93,206.18,4.07,Banana
91.9,54.4,53.3,26.23,84.9,5.6,225.69,3.38,Rice
99.5,44.9,112.5,29.3,85.0,5.89,184.49,3.45,Banana
103.6,31.0,64.3,27.5,57.44,5.81,130.11,1.82,Eggplant
86.1,33.5,168.2,25.22,78.19,5.54,195.34,2.77,Banana
133.4,31.0,113.7,27.63,86.21,6.15,215.22,3.65,Banana
109.4,61.0,77.0,24.1,62.23,5.31,108.27,3.14,Tomato
91.2,36.8,32.7,27.44,78.53,4.66,252.14,2.49,Rice
67.0,26.4,100.0,23.71,77.38,6.36,278.01,4.09,Durian
151.1,52.4,169.2,25.38,70.93,5.75,272.31,2.71,Banana
36.2,21.8,108.7,27.44,64.28,5.67,80.0,1.52,Cassava
59.8,42.7,47.4,23.56,79.14,5.81,165.48,2.58,Cacao
122.5,60.8,152.1,28.08,75.55,6.26,258.87,4.51,Banana
95.5,43.5,175.0,27.6,84.82,6.08,206.92,2.55,Banana
107.5,47.3,72.3,26.88,62.49,6.97,68.79,3.35,Tomato
100.8,60.1,73.7,34.7,66.69,5.25,111.89,2.65,Papaya
100.0,35.5,39.9,28.03,82.69,5.92,255.5,3.25,Rice
99.3,69.0,66.9,20.85,53.83,5.93,92.83,2.89,Tomato
77.6,55.1,26.2,24.91,81.76,5.69,227.77,2.79,Rice
80.3,25.7,43.3,25.25,67.51,6.01,91.82,1.89,Corn
29.4,44.3,136.5,26.6,80.57,5.91,202.46,2.75,Coconut
31.6,46.4,117.4,26.51,74.34,6.82,109.2,1.5,Sweet Potato
53.4,35.6,28.4,24.6,86.77,6.96,226.94,3.18,Rice
143.7,37.5,27.5,24.63,61.54,5.9,72.97,2.36,Corn
53.3,18.8,98.5,28.83,62.69,5.21,117.45,1.32,Cassava
102.3,52.8,93.8,30.58,86.21,6.66,177.28,2.76,Banana
127.9,64.4,86.4,24.43,59.83,6.75,84.54,2.29,Tomato
107.9,41.7,31.3,24.98,65.94,7.08,83.4,2.77,Corn
112.1,34.7,32.6,26.14,61.66,6.4,107.01,2.35,Corn
35.7,46.3,142.0,26.72,87.27,6.87,204.18,1.58,Coconut
58.8,26.0,80.4,26.49,61.69,6.47,94.96,2.41,Mango
83.4,40.4,83.1,27.4,85.07,6.31,225.79,3.98,Durian
159.6,45.6,127.3,30.6,95.0,7.43,176.46,3.81,Banana
121.1,61.9,78.6,24.87,67.41,6.42,93.32,1.97,Tomato
73.4,30.0,91.3,28.12,73.26,6.95,80.0,2.46,Papaya
106.5,99.5,102.1,28.55,68.6,6.28,68.4,2.88,Tomato
52.1,46.1,111.3,27.01,72.79,6.31,123.74,2.16,Sweet Potato
109.1,47.2,42.1,27.49,86.1,6.15,241.33,3.43,Rice
106.8,64.0,60.0,29.59,83.51,6.52,215.1,2.91,Durian
102.7,50.5,170.7,27.59,88.59,5.97,232.29,3.47,Banana
59.2,48.4,59.8,26.03,64.93,7.4,107.56,2.33,Mango
151.2,57.0,125.7,29.42,86.82,6.33,186.59,3.7,Banana
24.4,32.1,137.8,26.7,84.38,5.95,193.09,3.98,Coconut
105.7,44.9,48.7,27.89,73.28,7.09,138.28,3.05,Eggplant
81.9,46.1,35.8,26.2,83.6,6.34,219.91,2.54,Rice
113.6,60.4,51.4,24.45,83.32,5.24,258.04,2.27,Rice
40.8,34.7,111.0,28.25,70.36,6.12,99.87,1.46,Sweet Potato
64.4,53.1,66.8,28.11,79.08,6.13,226.13,2.95,Durian
81.2,57.3,91.3,22.26,65.0,5.74,136.97,2.0,Cacao
40.5,32.0,128.1,26.35,76.78,6.48,184.03,2.22,Coconut
40.2,54.8,150.2,27.38,76.91,5.4,227.9,3.15,Coconut
80.6,33.5,78.0,28.65,79.96,6.47,228.37,2.7,Durian
45.6,52.6,102.4,25.52,72.52,5.92,126.57,1.92,Sweet Potato
15.2,16.3,93.5,26.03,79.72,6.59,127.58,2.23,Coconut
61.8,36.5,50.0,31.68,77.28,6.27,289.8,2.04,Durian
161.4,37.7,156.9,29.73,75.41,5.48,210.95,3.52,Banana
84.6,60.7,97.6,26.96,80.99,7.02,280.67,3.47,Durian
94.4,52.2,39.0,22.24,60.49,6.12,108.61,1.0,Corn
90.0,30.0,83.0,23.5,55.0,5.64,117.96,2.78,Eggplant
112.8,30.7,101.8,28.93,72.45,6.12,152.72,2.06,Papaya
86.9,44.9,84.9,25.04,93.11,6.75,255.34,2.81,Durian
63.3,61.0,104.2,28.51,76.21,5.77,231.08,2.76,Durian
85.4,42.2,100.4,24.29,81.31,7.38,186.24,3.91,Durian
43.0,35.0,71.2,31.22,70.88,5.83,102.63,1.24,Cassava
29.1,19.0,102.9,31.55,75.28,5.95,105.48,0.73,Cassava
117.9,47.8,85.2,24.16,72.14,7.17,95.52,2.6,Tomato
43.1,36.8,122.4,26.73,78.49,7.2,201.35,1.63,Coconut
108.8,38.4,32.9,26.52,84.77,5.86,200.57,3.54,Rice
